33.56, 73.90, 227.35
40.66, 80.83, 230.72
32.93, 62.82, 229.40
38.21, 63.60, 233.30
35.96, 74.41, 228.05
38.30, 63.98, 235.01
35.21, 53.59, 233.42
31.80, 78.55, 225.75
34.69, 58.63, 231.57
35.43, 53.86, 233.23
33.80, 67.61, 231.17
42.44, 54.31, 237.88
34.49, 78.40, 227.89
31.27, 72.64, 226.08
40.02, 69.50, 232.62
36.02, 67.88, 230.33
39.11, 80.75, 228.47
39.97, 80.93, 228.46
36.10, 66.58, 231.20
31.28, 78.20, 226.35
32.30, 70.61, 228.35
39.37, 74.94, 232.50
35.02, 63.72, 230.40
35.82, 72.73, 229.42
33.12, 56.29, 230.94
38.57, 54.98, 236.82
39.05, 73.59, 232.69
41.50, 74.54, 231.75
40.89, 65.16, 235.10
41.81, 72.45, 233.06
32.01, 55.46, 231.93
34.01, 62.77, 230.77
42.17, 69.09, 233.95
36.47, 80.49, 226.10
38.61, 77.32, 231.09
32.49, 81.27, 226.13
42.46, 52.85, 239.67
39.71, 67.75, 235.10
41.14, 68.60, 235.77
36.88, 75.78, 228.86
36.02, 69.13, 229.44
41.37, 53.12, 237.30
39.54, 58.40, 236.76
32.36, 69.86, 228.86
41.62, 57.02, 238.90
42.32, 64.30, 235.84
30.91, 77.41, 226.05
42.12, 81.10, 231.58
42.11, 54.98, 237.70
30.54, 80.15, 223.48
33.78, 70.10, 228.26
37.03, 62.61, 231.99
30.82, 50.65, 233.02
36.26, 72.23, 231.40
37.06, 50.05, 234.86
34.01, 69.35, 229.12
30.47, 53.24, 230.69
35.54, 51.80, 235.20
42.10, 69.77, 235.67
40.87, 54.80, 237.35
41.69, 75.30, 233.31
40.90, 55.00, 237.86
31.52, 72.21, 228.58
41.84, 77.48, 231.10
31.91, 70.11, 227.10
36.27, 52.03, 234.01
40.92, 69.55, 235.13
39.82, 54.50, 238.15
34.64, 69.98, 228.48
32.76, 79.12, 225.31
34.20, 70.36, 228.40
37.15, 79.85, 227.75
32.23, 54.45, 232.39
32.76, 62.74, 229.44
32.77, 52.06, 233.46
39.28, 81.17, 228.31
35.63, 67.47, 232.55
40.79, 80.57, 229.44
34.00, 59.05, 232.36
31.48, 67.66, 229.97
39.61, 50.28, 236.27
40.70, 76.19, 233.47
37.08, 78.05, 229.96
38.51, 52.59, 236.17
41.58, 54.71, 239.15
37.70, 59.82, 235.15
33.91, 54.65, 232.96
30.79, 54.09, 231.69
35.21, 62.31, 230.60
34.05, 50.33, 233.99
31.21, 75.58, 226.94
36.63, 79.13, 227.40
38.47, 59.81, 235.27
31.35, 51.19, 233.09
41.25, 73.09, 234.19
40.08, 65.37, 233.70
41.56, 53.56, 238.67
40.21, 53.95, 236.87
36.86, 49.85, 233.93
41.14, 67.62, 235.68
30.24, 74.70, 225.08
41.66, 74.70, 233.23
36.53, 75.34, 229.34
30.94, 62.70, 229.98
36.56, 55.04, 232.89
40.78, 63.72, 234.09
42.33, 69.83, 234.26
40.36, 79.61, 230.53
39.08, 69.69, 233.33
37.20, 77.88, 229.25
36.96, 55.02, 235.45
31.51, 78.36, 225.65
36.80, 74.02, 229.76
40.11, 80.04, 228.86
32.42, 68.66, 227.52
39.18, 54.39, 236.99
36.22, 50.80, 234.38
41.90, 70.08, 234.28
34.22, 62.40, 231.92
38.97, 58.01, 236.81
38.53, 57.52, 235.25
41.45, 56.93, 236.49
39.52, 50.44, 235.70
37.90, 66.96, 233.82
30.39, 55.70, 231.46
38.23, 65.87, 234.05
32.81, 71.99, 228.25
32.85, 77.69, 226.85
33.93, 80.23, 227.08
37.80, 50.12, 236.66
39.81, 54.31, 236.16
36.40, 57.02, 235.20
42.02, 65.99, 236.57
32.02, 65.17, 230.91
39.86, 69.45, 233.51
32.31, 69.71, 227.83
32.45, 66.93, 229.39
37.45, 68.89, 233.38
39.92, 68.14, 235.20
40.74, 79.65, 230.37
37.27, 56.71, 233.21
33.53, 53.56, 232.56
41.51, 71.34, 233.71
32.54, 52.82, 232.15
38.99, 74.68, 231.72
30.62, 57.56, 231.67
35.80, 62.86, 232.39
33.88, 49.67, 232.93
35.72, 60.53, 232.13
40.46, 50.89, 238.16
34.14, 59.80, 233.33
30.99, 71.07, 227.07
35.80, 54.96, 232.74
32.53, 74.31, 228.05
40.31, 61.54, 236.81
36.20, 49.92, 234.51
39.42, 50.87, 235.92
30.74, 52.99, 231.55
37.83, 64.33, 232.93
41.25, 70.89, 232.92
40.39, 77.71, 231.17
37.82, 74.42, 230.44
40.20, 68.90, 234.88
34.14, 58.71, 230.96
34.03, 53.30, 232.55
37.45, 65.16, 233.44
37.39, 80.56, 228.29
33.95, 59.50, 231.68
40.74, 62.23, 235.99
36.57, 55.83, 235.42
31.39, 75.66, 227.92
37.16, 60.20, 233.49
37.40, 68.28, 231.29
42.24, 67.32, 236.26
35.69, 60.17, 233.80
35.89, 58.40, 231.93
35.02, 68.63, 229.81
39.34, 80.41, 229.30
36.91, 79.73, 227.94
32.70, 55.56, 232.61
31.98, 78.79, 226.75
39.42, 60.35, 233.81
39.23, 59.38, 236.58
40.55, 77.77, 232.05
41.42, 71.14, 235.09
30.43, 62.97, 230.13
30.24, 79.57, 224.42
33.59, 62.10, 230.85
32.98, 74.04, 227.95
30.68, 77.41, 225.98
41.12, 76.59, 231.66
41.49, 58.32, 237.06
36.95, 53.25, 233.45
41.96, 71.76, 233.34
42.21, 49.60, 239.84
41.10, 54.67, 237.39
35.93, 76.81, 226.99
42.41, 69.01, 235.50
36.47, 53.48, 234.79
31.49, 70.54, 227.89
